Business Name,Industry,Address,ZIP,Phone,Source,Verified,Opportunity Score,Notes
=== DAILY PIPELINE PASS — 2026-06-03 ===
--- PRIORITY FILLS: CHILDCARE (across all 4 ZIPs - new additions) ---
Happy Child Childcare & Learning Center,CHILDCARE,,78228,,trustedcare.com+womens-owned,MIXED,4,"78228, since 2004, women-owned, capacity 79, near St. Mary's University"
123-Abc Learning Center,CHILDCARE,,78228,,upwards.com+daycare,MIXED,3,"78228, play-based educational activities, home daycare licensed"
Little Treehouse Early Learning Center,CHILDCARE,,78228,,yelp+daycare,MIXED,3,"78228, Yelp listed, established provider"
--- PRIORITY FILLS: PEST CONTROL (new additions across all 4 ZIPs) ---
A1 Bed Bug Exterminator,PEST CONTROL,,78207,(210) 864-8098,outstandingexterminationservices.com+yelp,MIXED,4,"78207 area, innovative pest control, guaranteed results"
Andy's Sprinkler Drainage & Lighting,PEST CONTROL,,78228,(210) 414-8888,sprinklerdrainage.com,MIXED,3,"78228, also offers pest-related drainage services"
Bulldog Exterminator San Antonio,PEST CONTROL,,78228,,theamazingpestguys.com,MIXED,3,"78228 area, bed bug specialist, free inspection"
--- PRIORITY FILLS: LANDSCAPING (new additions for 78228, 78237, 78211) ---
Heavenly Lawn Care Service,LANDSCAPING,812 S San Augustine Ave,78237,(210) 797-6139,website+yelp+facebook+mapquest,YES,4,"78237, HQ address confirmed, full landscaping, website active"
B & R Irrigation and Landscaping,LANDSCAPING,506 Overhill Dr,78228,(210) 809-5539,mapquest+buildzoom+yahoo+bbb,YES,4,"78228, irrigation specialist, BuildZoom verified, since 2016"
Cantus Lawn Care,LANDSCAPING,446 N San Ignacio Ave,78228,(210) 627-2970,greenpal+networx+buildzoom,YES,4,"78228, father-son owned, pressure wash + lawn, 4.6★ 333 reviews"
RPW Painting Services & Lawn Care,LANDSCAPING,,78237,,mapquest+yelp,MIXED,3,"78237, dual painting+lawn care, 4.1★ 1294 reviews"
--- HVAC: NEW LEADS (78228 & 78237 expansion) ---
Honeycomb Heating & Cooling,HVAC,,78228,,honeycombair.com+yelp+bbb,YES,5,"78228 area, TACLA140435E licensed, 500+ reviews, 5.0★, BBB A-Rated, serves 78228+78237"
--- PLUMBING: NEW LEADS (78228 gap closure!) ---
Dano's Plumbing Co,PLUMBING,2200 Bandera Rd #3,78228,(210) 520-3266,bbb+buildzoom+website+yelp,MIXED,4,"78228, BBB accredited since 2013, license #PM16522, 24/7 emergency, FIRST 78228 PLUMBING LEAD"
Almighty Piping & Plumbing Co LLC,PLUMBING,2134 Waverly Ave,78228,(210) 465-1148,chamberofcommerce+yelp+facebook+mapquest,YES,4,"78228, 24/7 service, licensed, UA Local 142 member, 2nd 78228 plumbing lead"
Gentry Plumbing Services,PLUMBING,5622 Green House St,78223,(210) 984-1964,website+bbb+yelp+buildzoom,YES,4,"Serves 78228, family-owned, 24/7 emergency, verified license, commercial+residential"
--- ROOFING: NEW LEADS (78237 expansion) ---
American Homes Roofing,ROOFING,510 Old Hwy 90 W,78237,(210) 778-8060,yahoo+local,MIXED,4,"78237, 30+ years in business, full roofing services"
--- ELECTRICIAN: NEW LEADS (78207 & 78211 gap closures!) ---
Bell Electric LLC,ELECTRICIAN,1731 S San Marcos #734A,78207,(210) 422-5547,website+bbb+mapquest+chamber+facebook,YES,5,"78207, 4.8★ 86 reviews, master electrician, BBB listed, since 2014, FIRST 78207 ELECTRICIAN LEAD"
Evenflow Home & Commercial Services,ELECTRICIAN,1547 W Poplar St,78207,(210) 452-2900,website+bbb+birdeye+homeadvisor+linkedin,YES,5,"78207, 4.9★ 958 reviews, BBB accredited, master electrician+plumbing+HVAC, 24/7"
San Antonio Alliance Electric Inc,ELECTRICIAN,347 Doolittle St,78211,(210) 922-8630,buildzoom+website+linkedin,YES,4,"78211, since 2001, family-owned, commercial+residential, BuildZoom verified, FIRST 78211 ELECTRICIAN LEAD"
--- DENTIST: NEW LEADS (78237 & 78211 expansion) ---
Celebrate Dental & Braces - West Commerce,DENTIST,4965 W Commerce St,78237,(210) 802-7000,website+bbb+mapquest+acompio,YES,4,"78237, franchise, general+orthodontics+implants, Saturday hours"
--- CLEANING: NEW LEADS (78211 expansion) ---
Alamo Cleaning Pro LLC,CLEANING,8811 Oro Vis,78211,(830) 538-0340,website+mapquest+expertise+linkedin,YES,4,"78211, since 2012, commercial+residential, serves South SA, 4.9★ 77 reviews"
F/C Cleaning Service,CLEANING,1202 Wagner Ave,78211,,mapquest,MIXED,3,"78211, professional cleaning company, address confirmed"
--- AUTO REPAIR: NEW LEADS (78211 expansion) ---
Hillin's Auto Repair,AUTO REPAIR,1511 Somerset Rd,78211,(210) 922-2216,website+yelp+facebook+surecritic,YES,5,"78211, since 1982 (43 years!), family-owned, 5.0★ 410 reviews, full service"
Mechanic Masters Auto Repair,AUTO REPAIR,7321 New Laredo Hwy,78211,(210) 277-0099,mapquest+superpages+manta+bizapedia+yelp,MIXED,4,"78211, since 2020, 20+ years experience, diagnostics+maintenance+repairs"
Cordova Auto Center #4,AUTO REPAIR,3425 SW Military Dr,78211,(210) 921-1148,website,MIXED,3,"78211, full service auto repair, established location"
