filename,name,role,prompt
alex-sterling.png,Alex Sterling,CEO,Black man mid-30s clean-shaven confident smile dark eyes dark suit jacket over open collar shirt dark background professional headshot photorealistic studio lighting
nova-chen.png,Nova Chen,COO,East Asian woman late 20s sharp bob haircut thin glasses no-nonsense expression dark blazer dark background professional headshot photorealistic studio lighting
river-mitchell.png,River Mitchell,CMO,Latina woman early 30s wavy dark brown hair past shoulders warm approachable smile dark collared shirt dark background professional headshot photorealistic studio lighting
echo-hayes.png,Echo Hayes,CFO,White man late 20s short brown hair parted on the side analytical calm expression dark vest over white shirt dark background professional headshot photorealistic studio lighting
iris-nakamura.png,Iris Nakamura,Design Director,Japanese woman mid-30s artistic asymmetric haircut subtle creative earring confident creative expression dark turtleneck dark background professional headshot photorealistic studio lighting
kai-moreno.png,Kai Moreno,Video Writer,Latino man late 20s stylish short dark hair with fade friendly storyteller expression dark henley shirt dark background professional headshot photorealistic studio lighting
luna-park.png,Luna Park,Image Designer,Korean woman mid-20s trendy shoulder-length hair with bangs bright creative expression dark minimalist top dark background professional headshot photorealistic studio lighting
sage-mitchell.png,Sage Mitchell,Research Director,Black woman early 30s natural hair pulled back thoughtful intelligent expression dark blazer dark background professional headshot photorealistic studio lighting
marcus-webb.png,Marcus Webb,Head of Sales,White man mid-30s clean-cut short brown hair wide friendly smile dark suit jacket dark background professional headshot photorealistic studio lighting
quinn-washington.png,Quinn Washington,Compliance Director,Black man early 30s close-cropped hair serious focused expression dark collared shirt dark background professional headshot photorealistic studio lighting
derek-cole.png,Derek Cole,Code Compliance,Latino man late 20s short dark hair methodical calm expression dark zip-up tech jacket dark background professional headshot photorealistic studio lighting
piper-hale.png,Piper Hale,Print Compliance,White woman mid-20s auburn hair in neat bun detail-oriented focused expression dark blouse dark background professional headshot photorealistic studio lighting
jordan-reed.png,Jordan Reed,CTO,Black woman late 20s locs pulled back confident tech leader expression dark crew neck dark background professional headshot photorealistic studio lighting
atlas-warren.png,Atlas Warren,R&D,White man early 30s short beard introspective researcher expression dark casual button-down dark background professional headshot photorealistic studio lighting
worthington-miles.png,Worthington Miles,Crypto Manager,White man mid-30s polished unconventional style slicked dark hair finance-meets-tech expression dark mock turtleneck dark background professional headshot photorealistic studio lighting
carmen-diaz.png,Carmen Diaz,Operations Lead,Latina woman late 20s practical ponytail organized efficient expression dark collared shirt dark background professional headshot photorealistic studio lighting
levi-jones.png,Levi Jones,Founder,White man early 30s dark hair determined visionary expression dark open-collar shirt dark background professional headshot photorealistic studio lighting
